,S.No,actual,name,title,male,culture,dateOfBirth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity
0,1,0,Viserys II Targaryen,,1,,,Rhaenyra Targaryen,Daemon Targaryen,Aegon IV Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,11,1,1,0.605351170568561
1,2,1,Walder Frey,Lord of the Crossing,1,Rivermen,208.0,,,,House Frey,Perra Royce,1,1,1,1,1,,,,1.0,1,1,97.0,1,1,1,0.896321070234113
2,3,1,Addison Hill,Ser,1,,,,,,House Swyft,,0,0,0,1,0,,,,,0,1,,0,0,0,0.267558528428093
3,4,0,Aemma Arryn,Queen,0,,82.0,,,,House Arryn,Viserys I Targaryen,0,0,0,0,0,,,,0.0,1,1,23.0,0,0,0,0.183946488294314
4,5,1,Sylva Santagar,Greenstone,0,Dornish,276.0,,,,House Santagar,Eldon Estermont,0,0,0,1,0,,,,1.0,1,1,29.0,0,0,0,0.0434782608695652
5,6,1,Tommen Baratheon,,1,,,Cersei Lannister,Robert Baratheon,Myrcella Baratheon,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,1.0
6,7,0,Valarr Targaryen,Hand of the King,1,Valyrian,183.0,,,,House Targaryen,Kiera of Tyrosh,0,0,0,0,0,,,,1.0,1,1,26.0,0,0,1,0.431438127090301
7,8,0,Viserys I Targaryen,,1,,,Alyssa Targaryen,Baelon Targaryen,Rhaenyra Targaryen,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,0.678929765886287
8,9,0,Wilbert,Ser,1,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0066889632107023
9,10,1,Wilbert Osgrey,Ser,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107
10,11,0,Will,,1,,,,,,Night's Watch,,1,1,0,0,0,,,,,0,0,,0,0,0,0.163879598662207
11,12,1,Will (orphan),,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0033444816053511
12,13,1,Will (squire),,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
13,14,1,Will (Standfast),,0,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
14,15,1,Will (Treb),,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
15,16,1,Will Humble,,1,Ironborn,,,,,House Humble,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046
16,17,1,Willam,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046
17,18,1,Willem Wylde,Ser,1,,,,,,House Wylde,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107
18,19,1,Willifer,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
19,20,1,Willit,,1,,,,,,House Swyft,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0100334448160535
20,21,1,Willis Wode,Ser,1,,,,,,House Wode,,1,0,0,1,0,,,,,0,1,,0,0,0,0.020066889632107
21,22,1,Willis Fell,Ser,0,,,,,,House Fell,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0234113712374581
22,23,1,Willow Heddle,,0,,289.0,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,16.0,0,0,0,0.0334448160535117
23,24,1,Willum,Ser,1,,,,,,,,1,0,0,0,0,,,,,0,1,,0,0,0,0.0
24,25,1,Wolmer,,1,,,,,,House Webber,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
25,26,0,Willow Witch-eye,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0501672240802675
26,27,0,Woth,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605
