,Date,Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Laptop_Demand
0,05-02-2010,2135143.87,0,43.76,2.5980000000000003,126.4420645,8.623,0
1,12-02-2010,2188307.39,1,28.84,2.573,126.4962581,8.623,0
2,19-02-2010,2049860.26,0,36.45,2.54,126.5262857,8.623,0
3,26-02-2010,1925728.84,0,41.36,2.59,126.55228570000001,8.623,0
4,05-03-2010,1971057.44,0,43.49,2.654,126.57828570000001,8.623,1
5,12-03-2010,1894324.09,0,49.63,2.7039999999999997,126.6042857,8.623,0
6,19-03-2010,1897429.36,0,55.19,2.7430000000000003,126.6066452,8.623,1
7,26-03-2010,1762539.3,0,39.91,2.752,126.6050645,8.623,0
8,02-04-2010,1979247.12,0,48.77,2.74,126.60348390000001,7.896,0
9,09-04-2010,1818452.72,0,54.16,2.773,126.60190320000001,7.896,0
10,16-04-2010,1851519.69,0,56.23,2.81,126.5621,7.896,0
11,23-04-2010,1802677.9,0,56.87,2.805,126.47133329999998,7.896,0
12,30-04-2010,1817273.28,0,53.04,2.787,126.38056670000002,7.896,0
13,07-05-2010,2000626.14,0,56.77,2.8360000000000003,126.2898,7.896,1
14,14-05-2010,1875597.28,0,62.35,2.845,126.20854840000001,7.896,0
15,21-05-2010,1903752.6,0,67.4,2.82,126.18438710000001,7.896,0
16,28-05-2010,1857533.7,0,67.73,2.7560000000000002,126.16022579999999,7.896,0
17,04-06-2010,1903290.58,0,70.83,2.701,126.1360645,7.896,0
18,11-06-2010,1870619.23,0,78.45,2.668,126.11190320000001,7.896,0
19,18-06-2010,1929736.35,0,81.53,2.635,126.11399999999999,7.896,0
20,25-06-2010,1846651.95,0,81.1,2.654,126.1266,7.896,0
21,02-07-2010,1881337.21,0,73.66,2.668,126.1392,7.372000000000001,0
22,09-07-2010,1812208.22,0,80.35,2.637,126.1518,7.372000000000001,5
23,16-07-2010,1898427.66,0,78.53,2.6210000000000004,126.1498065,7.372000000000001,2
24,23-07-2010,1848426.78,0,79.78,2.612,126.1283548,7.372000000000001,0
25,30-07-2010,1796637.61,0,80.7,2.65,126.10690320000002,7.372000000000001,0
26,06-08-2010,1907638.58,0,76.53,2.64,126.08545159999998,7.372000000000001,0
27,13-08-2010,2007050.75,0,78.08,2.698,126.064,7.372000000000001,0
28,20-08-2010,1997181.09,0,78.83,2.6710000000000003,126.0766452,7.372000000000001,4
29,27-08-2010,1848403.92,0,74.44,2.6210000000000004,126.08929029999999,7.372000000000001,0
30,03-09-2010,1935857.58,0,76.8,2.5839999999999996,126.1019355,7.372000000000001,1
31,10-09-2010,1865820.81,1,73.54,2.574,126.11458059999998,7.372000000000001,0
32,17-09-2010,1899959.61,0,64.91,2.594,126.14546670000001,7.372000000000001,1
33,24-09-2010,1810684.68,0,60.96,2.642,126.19003329999998,7.372000000000001,5
34,01-10-2010,1842821.02,0,63.96,2.6189999999999998,126.2346,7.127000000000001,0
35,08-10-2010,1951494.85,0,67.73,2.645,126.27916670000002,7.127000000000001,0
