POI,No of items,Priority
Sonny,48,low
Micheal,41,None
Sonny,51,med
Sonny,47,None
Sonny,52,low
Fredo,45,critical
Vito,50,low
Sonny,57,low
Fredo,61,critical
Sonny,41,low
Fredo,51,low
Fredo,59,high
Fredo,42,med
Vito,49,low
Fredo,46,low
Sonny,50,low
Sonny,49,low
Sonny,43,low
Vito,53,med
Sonny,48,low
Sonny,46,med
Apollonia,48,low
Fredo,43,med
Sonny,55,low
Sonny,48,low
Sonny,46,low
Apollonia,46,low
Fredo,47,low
Sonny,48,med
Fredo,44,low
Vito,53,med
Apollonia,50,low
Sonny,59,critical
Fredo,47,high
Fredo,50,med
Sonny,45,high
Sonny,46,med
Sonny,53,critical
Sonny,57,med
Sonny,45,low
Sonny,51,None
Sonny,47,low
Fredo,41,med
Vito,51,low
Sonny,39,low
Sonny,37,high
Fredo,49,low
Fredo,47,med
Sonny,53,med
Fredo,48,low
Sonny,46,critical
Fredo,44,critical
Vito,42,low
Micheal,45,high
Sonny,50,low
Vito,44,critical
Fredo,50,med
Sonny,51,med
Sonny,50,low
Vito,36,med
Sonny,45,critical
Sonny,39,med
Sonny,46,med
Sonny,42,low
Fredo,44,low
Fredo,39,low
Fredo,49,low
Sonny,47,med
Fredo,51,med
Sonny,48,med
Sonny,50,med
Micheal,41,low
Sonny,50,critical
Sonny,41,low
Sonny,45,med
Fredo,50,critical
Sonny,51,critical
Micheal,50,critical
Fredo,47,low
Sonny,46,low
Fredo,56,critical
Apollonia,48,low
Sonny,44,med
Vito,43,med
Sonny,46,low
Vito,44,med
Sonny,46,low
Sonny,45,critical
Fredo,41,med
Vito,48,high
Sonny,50,low
Sonny,56,None
Fredo,45,high
Fredo,49,critical
Sonny,44,med
Vito,45,low
Sonny,48,med
Sonny,45,low
Sonny,40,low
Vito,43,low
Fredo,45,med
Sonny,51,med
Sonny,50,None
Sonny,58,med
Sonny,35,critical
Sonny,54,med
Sonny,53,med
Fredo,47,critical
Vito,46,low
Apollonia,49,low
Fredo,43,low
Fredo,54,low
Fredo,52,med
Sonny,45,low
Sonny,49,low
Sonny,42,low
Sonny,45,low
Sonny,56,low
Sonny,52,low
Sonny,51,med
Fredo,46,low
Sonny,52,critical
Sonny,42,med
Sonny,53,low
Vito,43,low
Vito,41,low
Sonny,50,med
Fredo,45,low
Micheal,41,med
Vito,60,critical
Sonny,43,low
Vito,45,low
Sonny,51,low
Sonny,46,critical
Micheal,50,critical
